name,host_star_name,url,planet_type,mass,planet_radius,orbital_period,orbit_distance,eccentricity,discovery_method,host_star_type
K2-15 b,K2-15,https://science.nasa.gov/exoplanet-catalog/k2-15-b/,Neptune-like,6.71,0.22125078,11.8,0.091,Not Found,Transit,K
K2-150 b,K2-150,https://science.nasa.gov/exoplanet-catalog/k2-150-b/,Super Earth,4.66,2.0,10.6,0.0727,Not Found,Transit,M
K2-151 b,K2-151,https://science.nasa.gov/exoplanet-catalog/k2-151-b/,Super Earth,2.83,1.49,3.8,0.0373,Not Found,Transit,M
K2-152 b,K2-152,https://science.nasa.gov/exoplanet-catalog/k2-152-b/,Neptune-like,5.86,0.204,32.6,0.1716,Not Found,Transit,K
K2-153 b,K2-153,https://science.nasa.gov/exoplanet-catalog/k2-153-b/,Super Earth,4.66,2.0,7.5,0.0614,Not Found,Transit,M
K2-154 b,K2-154,https://science.nasa.gov/exoplanet-catalog/k2-154-b/,Super Earth,4.62,1.99,3.7,0.0405,Not Found,Transit,K
K2-154 c,K2-154,https://science.nasa.gov/exoplanet-catalog/k2-154-c/,Super Earth,4.94,2.07,8,0.0677,Not Found,Transit,K
K2-155 b,K2-155,https://science.nasa.gov/exoplanet-catalog/k2-155-b/,Super Earth,3.89,1.8,6.3,0.0562,Not Found,Transit,K
K2-155 c,K2-155,https://science.nasa.gov/exoplanet-catalog/k2-155-c/,Neptune-like,7.27,0.23195646,13.9,0.0946,Not Found,Transit,K
K2-155 d,K2-155,https://science.nasa.gov/exoplanet-catalog/k2-155-d/,Super Earth,4.27,1.9,40.7,0.1937,Not Found,Transit,K
K2-156 b,K2-156,https://science.nasa.gov/exoplanet-catalog/k2-156-b/,Super Earth,1.37,1.1,0.8,0.0149,Not Found,Transit,K
K2-157 b,K2-157,https://science.nasa.gov/exoplanet-catalog/k2-157-b/,Terrestrial,0.972,1.0,0.4,Unknown,Not Found,Transit,G
K2-158 b,K2-158,https://science.nasa.gov/exoplanet-catalog/k2-158-b/,Neptune-like,7.46,0.23552502,10.1,0.0887,Not Found,Transit,G
K2-158 c,K2-158,https://science.nasa.gov/exoplanet-catalog/k2-158-c/,Super Earth,2.18,1.28,5.9,0.0622,Not Found,Transit,G
K2-159 b,K2-159,https://science.nasa.gov/exoplanet-catalog/k2-159-b/,Neptune-like,5.73,0.2016237,12.4,0.1013,Not Found,Transit,G
K2-16 b,K2-16,https://science.nasa.gov/exoplanet-catalog/k2-16-b/,Super Earth,4.74,2.02,7.6,0.0667,Not Found,Transit,K
K2-16 c,K2-16,https://science.nasa.gov/exoplanet-catalog/k2-16-c/,Neptune-like,6.99,0.22660362,19.1,0.1229,Not Found,Transit,K
K2-160 b,K2-160,https://science.nasa.gov/exoplanet-catalog/k2-160-b/,Neptune-like,10.2,0.28354361,3.7,Unknown,Not Found,Transit,G
K2-161 b,K2-161,https://science.nasa.gov/exoplanet-catalog/k2-161-b/,Neptune-like,31.1,0.54574113,9.3,Unknown,Not Found,Transit,K
K2-162 b,K2-162,https://science.nasa.gov/exoplanet-catalog/k2-162-b/,Super Earth,2.67,1.44,9.5,0.0795,Not Found,Transit,K
K2-163 b,K2-163,https://science.nasa.gov/exoplanet-catalog/k2-163-b/,Neptune-like,6.65,0.22001134,6.7,Unknown,Not Found,Transit,K
K2-164 b,K2-164,https://science.nasa.gov/exoplanet-catalog/k2-164-b/,Neptune-like,10.6,0.29,17.4,Unknown,Not Found,Transit,G
K2-165 b,K2-165,https://science.nasa.gov/exoplanet-catalog/k2-165-b/,Super Earth,2.17,1.27443657,2.4,Unknown,Not Found,Transit,K
K2-165 c,K2-165,https://science.nasa.gov/exoplanet-catalog/k2-165-c/,Super Earth,3.03,1.55409035,4.4,Unknown,Not Found,Transit,K
K2-165 d,K2-165,https://science.nasa.gov/exoplanet-catalog/k2-165-d/,Neptune-like,7.5,0.23624721,14.1,Unknown,Not Found,Transit,K
K2-166 b,K2-166,https://science.nasa.gov/exoplanet-catalog/k2-166-b/,Neptune-like,5.43,2.19,8.5,0.0858,Not Found,Transit,F
K2-167 b,K2-167,https://science.nasa.gov/exoplanet-catalog/k2-167-b/,Neptune-like,6.5,0.211,10,0.0932,0.48,Transit,F
K2-168 b,K2-168,https://science.nasa.gov/exoplanet-catalog/k2-168-b/,Super Earth,4.12,1.86,15.9,Unknown,Not Found,Transit,G
K2-169 b,K2-169,https://science.nasa.gov/exoplanet-catalog/k2-169-b/,Super Earth,2.16,1.273,6.4,Unknown,Not Found,Transit,G
K2-17 b,K2-17,https://science.nasa.gov/exoplanet-catalog/k2-17-b/,Neptune-like,5.6,2.23,18,0.119,0.18,Transit,K
K2-170 b,K2-170,https://science.nasa.gov/exoplanet-catalog/k2-170-b/,Super Earth,2.6,1.418,7.6,Unknown,Not Found,Transit,G
K2-170 c,K2-170,https://science.nasa.gov/exoplanet-catalog/k2-170-c/,Super Earth,3.9,1.802,12.4,Unknown,Not Found,Transit,G
K2-171 b,K2-171,https://science.nasa.gov/exoplanet-catalog/k2-171-b/,Neptune-like,7.69,0.24,5.6,Unknown,Not Found,Transit,K
K2-172 b,K2-172,https://science.nasa.gov/exoplanet-catalog/k2-172-b/,Super Earth,3.42,1.666,14.3,Unknown,Not Found,Transit,G
K2-172 c,K2-172,https://science.nasa.gov/exoplanet-catalog/k2-172-c/,Neptune-like,10.4,0.28599259,29.6,Unknown,Not Found,Transit,G
